Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
23,0.015507099,0.002999014,3.57E-05,3.12E-09,0.001613088,8.60E-05,0.015874841,0.014443116,0.001410954,3.94E-26,0.003492611,0.016012021,0.001071489,0.003675521,0.002504984,0.014745845,1.40E-06,0.010094697,0.012471224,2.37E-06,5.23E-05
24,0.012848411,0.002743187,3.23E-05,2.31E-09,0.00135614,8.37E-05,0.014488555,0.013451789,0.001278059,9.39E-27,0.002938338,0.015141478,0.000910742,0.003154595,0.002231396,0.013414329,4.10E-07,0.008341839,0.011336097,7.67E-07,4.56E-05
25,0.010476542,0.002559588,2.94E-05,2.22E-09,0.001151701,8.33E-05,0.013193032,0.012475524,0.001152494,2.65E-27,0.002542899,0.014295737,0.000872811,0.002605994,0.001960768,0.012160128,1.05E-07,0.007488887,0.010275778,2.22E-07,3.96E-05
26,0.008730245,0.002378848,2.65E-05,2.04E-09,0.00098383,7.83E-05,0.011924222,0.01157996,0.001076233,8.90E-28,0.002191942,0.013445526,0.000869802,0.002122736,0.001763926,0.011004628,2.39E-08,0.00478015,0.009271074,6.75E-08,3.24E-05
27,0.005658796,0.002230655,2.40E-05,2.38E-09,0.000816692,7.12E-05,0.010862989,0.010752621,0.001065424,3.60E-28,0.00187271,0.012746419,0.00086693,0.001666422,0.001559358,0.009907446,4.84E-09,0.002934065,0.00834816,3.53E-08,2.72E-05
28,0.00355757,0.002092783,2.31E-05,2.48E-09,0.000696405,6.87E-05,0.009743504,0.009918267,0.001055106,1.75E-28,0.001607904,0.012007549,0.000864192,0.001485275,0.001341955,0.00885723,8.80E-10,0.001873122,0.00750305,1.84E-08,2.33E-05
29,0.002163772,0.001993057,2.14E-05,2.67E-09,0.000587095,6.97E-05,0.008853562,0.009198061,0.001045252,1.01E-28,0.001403067,0.011294005,0.000861582,0.001458064,0.001195377,0.007926487,1.45E-10,0.001137248,0.006731509,9.61E-09,1.91E-05
30,0.001400952,0.001887414,2.10E-05,2.97E-09,0.00049925,6.89E-05,0.008072334,0.008548272,0.001035836,6.90E-29,0.00121034,0.01064667,0.000859097,0.001431979,0.001114864,0.007125383,2.16E-11,0.000658694,0.006029142,5.00E-09,1.62E-05
31,0.000877886,0.001802996,1.95E-05,3.84E-09,0.000427454,7.12E-05,0.007369875,0.007899142,0.00102683,5.55E-29,0.001041482,0.010020814,0.000881273,0.001234323,0.001024698,0.006410322,2.97E-12,0.000365088,0.005391482,2.76E-09,1.45E-05
32,0.000700096,0.001733267,1.95E-05,5.17E-09,0.000364648,6.94E-05,0.006693729,0.007298986,0.001018212,5.22E-29,0.000883761,0.009380675,0.00098066,0.001032875,0.000933862,0.005808832,3.76E-13,0.000194242,0.004814059,2.48E-09,1.30E-05
33,0.000590483,0.001635446,1.96E-05,7.21E-09,0.000320547,6.68E-05,0.006030241,0.006800251,0.001009957,5.71E-29,0.000770779,0.008847656,0.001121193,0.000856628,0.000864503,0.005223514,4.43E-14,9.95E-05,0.00429246,2.33E-09,1.16E-05
